date,AAPL,MSFT,JNJ,UNH,JPM,GS,XOM,CVX,AMZN,HD,PG,CAT,HON,NEE,META,TLT,GLD,UUP
2020-10-19,112.6115711982,204.5273792962,123.7139177973,295.3526589389,86.7782381339,180.7674385341,26.4928535468,56.2135017095,160.3605,248.0789830146,123.6150067207,151.0476995543,144.6997203861,65.1713075474,259.3843983277,135.5637528581,178.39,21.7345506455
2020-10-20,114.0971351224,204.9379234709,123.9110782816,294.6147783216,87.2738653457,182.8239109254,26.7148164132,56.5289534587,160.8505,250.0987287262,124.1115224971,152.3640586623,146.1080106888,65.484599762,265.4968998338,134.2737134137,179.25,21.6655794416
2020-10-21,113.475722762,205.081136555,123.3796021935,294.0499808121,86.4043439215,178.3242790264,26.2867451709,55.8901636665,159.247,248.760975073,124.7822543354,150.9304894968,145.7791285223,64.7644627966,276.5807702597,133.8099737441,180.6,21.5535012351
2020-10-22,112.3882511311,205.1670644056,124.365404615,296.7282141637,89.4563641204,180.512576571,27.6343768594,57.8853959803,158.82,245.8319066168,123.903072979,152.9681412666,149.1354131959,65.7630817305,275.9754738443,132.4187547355,178.83,21.6397152401
2020-10-23,111.6988717938,206.4464346243,124.5025597345,301.1646075048,90.2650190449,180.1961962031,27.0794696936,57.2308336007,160.22,247.4407083957,124.7177061206,152.9320766335,148.0307064314,65.9371329608,282.5940428452,133.2281912496,178.64,21.5879868371
2020-10-26,111.7085813619,200.5746981726,123.4138909734,294.2959410178,88.0303489847,176.7687422176,26.4373628302,55.9453677226,160.352,241.355240797,123.7716805369,148.0426769475,143.502251985,65.8457560649,274.9732617467,134.4676409119,178.55,21.6655794416
2020-10-27,113.2135644224,203.6012680185,122.7109709859,291.9729835189,86.3695630645,171.9703066379,26.0172188332,54.8176277192,164.3165,242.0547198314,124.7001871283,143.2439896862,140.618208371,65.9480111627,281.1056090369,135.3698253599,179.02,21.6224724391
2020-10-28,107.970397631,193.5095193528,118.6048895956,280.5768273184,83.943598291,166.7763955983,25.0263131799,52.7435324681,158.139,235.8293564258,120.5832239399,137.1209010257,135.9042306511,64.7992730427,265.6060516464,135.4962998153,176.13,21.760414847
2020-10-29,111.9707397015,195.4572172977,117.6019427842,276.6414640262,84.4913967883,166.9257974387,26.1361275116,54.2577008644,160.5505,235.7506650344,120.5043884746,140.3049071291,138.8051400172,64.4076577745,278.6645775913,134.1809654798,175.4,21.8466288519
2020-10-30,105.698358688,193.3090210349,117.5333652245,277.9714710648,85.2478804273,166.1348465189,25.8586739287,54.8097414255,151.8075,233.1975665591,120.0926921557,142.4638628346,139.1002906794,63.7114528533,261.0812128691,132.857199514,176.2,21.8724930534
2020-11-02,105.6109725748,193.1753554897,118.8877720296,284.3117785912,87.1695227748,167.154294371,26.9447065247,56.899609264,150.224,236.7211921946,121.3190216161,148.1061756447,146.403161351,65.3823446642,259.3447067595,133.8516689994,177.91,21.8983572549
2020-11-03,107.2324704529,197.0898464574,118.7249003252,292.738193048,89.9172104752,173.9476839372,26.4849263016,56.5762712211,152.4205,242.5181246916,123.7016045677,152.1156648121,151.125571947,66.156872639,263.2543262293,133.0751301201,178.92,21.777657648
2020-11-04,111.6114856806,206.5991952474,119.4963978724,322.9912983572,87.1695227748,173.8949538759,26.3422358875,56.5999301023,162.058,247.1958907337,123.1935537913,140.8128967069,150.8725856651,63.8071810299,285.1640718876,135.9618289975,178.82,21.743172046
